Halloween	0.892	http://www.wikidata.org/entity/Q221103	horror film
Halloween Kills	0.848	http://www.wikidata.org/entity/Q67279679	horror film
Halloween Ends	0.577	http://www.wikidata.org/entity/Q85997053	horror film
The Silence of the Lambs	0.571	http://www.wikidata.org/entity/Q133654	horror film
Resident Evil: Apocalypse	0.488	http://www.wikidata.org/entity/Q161400	horror film
Hannibal	0.455	http://www.wikidata.org/entity/Q722682	horror film
Alien	0.341	http://www.wikidata.org/entity/Q103569	horror film
Resident Evil: Retribution	0.318	http://www.wikidata.org/entity/Q83542	horror film
Alien: Covenant	0.269	http://www.wikidata.org/entity/Q20430699	horror film
Glass	0.026	http://www.wikidata.org/entity/Q30939513	horror film
Unbreakable	-0.051	http://www.wikidata.org/entity/Q650613	horror film
Prometheus	-0.051	http://www.wikidata.org/entity/Q192686	horror film
Morbius	-0.079	http://www.wikidata.org/entity/Q55405369	horror film
Don't Worry Darling	-0.106	http://www.wikidata.org/entity/Q100801718	horror film
X	-0.122	http://www.wikidata.org/entity/Q105605250	horror film
Nope	-0.13	http://www.wikidata.org/entity/Q107176162	horror film
Split	-0.279	http://www.wikidata.org/entity/Q21869840	horror film
The Addams Family	-0.333	http://www.wikidata.org/entity/Q1210947	horror film
Doctor Strange in the Multiverse of Madness	-0.347	http://www.wikidata.org/entity/Q64211112	horror film
Guillermo del Toro	-0.575	http://www.wikidata.org/entity/Q219124	horror film
Addams Family Values	-0.81	http://www.wikidata.org/entity/Q204725	horror film
Sony's Spider-Man Universe	-0.864	http://www.wikidata.org/entity/Q55537283	horror film
