Top Gun	0.872	http://www.wikidata.org/entity/Q110138	action film
Top Gun: Maverick	0.605	http://www.wikidata.org/entity/Q31202708	action film
Avengers: Endgame	0.4	http://www.wikidata.org/entity/Q23781155	action film
Spider-Man: No Way Home	0.243	http://www.wikidata.org/entity/Q68934496	action film
Black Panther: Wakanda Forever	0.22	http://www.wikidata.org/entity/Q54860489	action film
Thor: Love and Thunder	0.171	http://www.wikidata.org/entity/Q65768604	action film
Guardians of the Galaxy Vol. 3	0.133	http://www.wikidata.org/entity/Q29226331	action film
Spider-Man: Far from Home	0.086	http://www.wikidata.org/entity/Q27985819	action film
The Batman	0.057	http://www.wikidata.org/entity/Q61117344	action film
No Time to Die	0.024	http://www.wikidata.org/entity/Q21534241	action film
Doctor Strange in the Multiverse of Madness	-0.061	http://www.wikidata.org/entity/Q64211112	action film
Avatar: The Way of Water	-0.093	http://www.wikidata.org/entity/Q3604746	action film
Jurassic World Dominion	-0.158	http://www.wikidata.org/entity/Q55178974	action film
Bullet Train	-0.206	http://www.wikidata.org/entity/Q99900595	action film
The King's Man	-0.293	http://www.wikidata.org/entity/Q61633664	action film
The Marvels	-0.325	http://www.wikidata.org/entity/Q89474225	action film
Eternals	-0.452	http://www.wikidata.org/entity/Q23894629	action film
Marvel Cinematic Universe	-0.641	http://www.wikidata.org/entity/Q642878	action film
