answer	score	topic	URI
Rudolf Steiner	0.500	architect	http://www.wikidata.org/entity/Q78484
Leonardo da Vinci	0.409	architect	http://www.wikidata.org/entity/Q762
Albert Speer	0.341	architect	http://www.wikidata.org/entity/Q60045
Michelangelo	0.333	architect	http://www.wikidata.org/entity/Q5592
Vyacheslav Butusov	0.282	architect	http://www.wikidata.org/entity/Q1862092
Andrey Makarevich	0.209	architect	http://www.wikidata.org/entity/Q2227698
Alfred Rosenberg	0.196	architect	http://www.wikidata.org/entity/Q75849
Farah Pahlavi	0.194	architect	http://www.wikidata.org/entity/Q164111
Vitaly Kaloyev	0.190	architect	http://www.wikidata.org/entity/Q554652
Alla Dudayeva	0.023	architect	http://www.wikidata.org/entity/Q4170097
Olena Zelenska	0.000	architect	http://www.wikidata.org/entity/Q59321885
Thomas Jefferson	-0.043	architect	http://www.wikidata.org/entity/Q11812
Yahya Abdul-Mateen II	-0.098	architect	http://www.wikidata.org/entity/Q28655334
Grand Duke Vladimir Alexandrovich of Russia	-0.225	architect	http://www.wikidata.org/entity/Q312819
Kanye West	-0.543	architect	http://www.wikidata.org/entity/Q15935
Prince Richard, Duke of Gloucester	-0.600	architect	http://www.wikidata.org/entity/Q170294
Jack Nicklaus	-0.714	architect	http://www.wikidata.org/entity/Q9424
Ringo Starr	0.727	drummer	http://www.wikidata.org/entity/Q2632
Lars Ulrich	0.489	drummer	http://www.wikidata.org/entity/Q106193
Roger Taylor	0.444	drummer	http://www.wikidata.org/entity/Q15880
Travis Barker	0.395	drummer	http://www.wikidata.org/entity/Q220140
Tommy Lee	0.351	drummer	http://www.wikidata.org/entity/Q331748
Christoph Schneider	0.255	drummer	http://www.wikidata.org/entity/Q57168
Dave Grohl	0.216	drummer	http://www.wikidata.org/entity/Q12006
Phil Collins	0.163	drummer	http://www.wikidata.org/entity/Q144622
Ivan Makarevich	0.000	drummer	http://www.wikidata.org/entity/Q4275255
Roger Waters	-0.024	drummer	http://www.wikidata.org/entity/Q180861
Valeria Kozlova	-0.146	drummer	http://www.wikidata.org/entity/Q2502323
Bela B	-0.162	drummer	http://www.wikidata.org/entity/Q77462
Varg Vikernes	-0.250	drummer	http://www.wikidata.org/entity/Q207824
Taylor Hawkins	-0.300	drummer	http://www.wikidata.org/entity/Q312395
Paul McCartney	-0.476	drummer	http://www.wikidata.org/entity/Q2599
Whiplash	-0.512	drummer	http://www.wikidata.org/entity/Q15648198
FKA twigs	-0.568	drummer	http://www.wikidata.org/entity/Q15291033
Anish Kapoor	0.703	Indians	http://www.wikidata.org/entity/Q327293
Hindi	0.644	Indians	http://www.wikidata.org/entity/Q1568
Punjabi	0.540	Indians	http://www.wikidata.org/entity/Q58635
Rekhā	0.314	Indians	http://www.wikidata.org/entity/Q465826
Anglo-Indian people	0.267	Indians	http://www.wikidata.org/entity/Q368125
Indigenous peoples of the Americas	0.119	Indians	http://www.wikidata.org/entity/Q36747
Native Americans in the United States	0.116	Indians	http://www.wikidata.org/entity/Q49297
Vyasa	0.023	Indians	http://www.wikidata.org/entity/Q330521
Myanmar	-0.095	Indians	http://www.wikidata.org/entity/Q836
First Nations	-0.175	Indians	http://www.wikidata.org/entity/Q392316
Indus River	-0.356	Indians	http://www.wikidata.org/entity/Q7348
vagina dentata	-0.513	Indians	http://www.wikidata.org/entity/Q1123830
king asleep in mountain	-0.541	Indians	http://www.wikidata.org/entity/Q1131291
Australia	-0.607	Indians	http://www.wikidata.org/entity/Q408
Gloria Steinem	0.848	women's rights activist	http://www.wikidata.org/entity/Q231178
Eva Perón	0.364	women's rights activist	http://www.wikidata.org/entity/Q40933
Clara Zetkin	0.289	women's rights activist	http://www.wikidata.org/entity/Q75823
Virginia Woolf	0.286	women's rights activist	http://www.wikidata.org/entity/Q40909
Sophia Perovskaya	0.220	women's rights activist	http://www.wikidata.org/entity/Q1823663
Alice Schwarzer	0.205	women's rights activist	http://www.wikidata.org/entity/Q62919
Maria Shriver	0.135	women's rights activist	http://www.wikidata.org/entity/Q230654
Eleanor Roosevelt	0.122	women's rights activist	http://www.wikidata.org/entity/Q83396
Valerie Solanas	0.114	women's rights activist	http://www.wikidata.org/entity/Q11093
Betty Ford	-0.047	women's rights activist	http://www.wikidata.org/entity/Q213122
Gudrun Ensslin	-0.100	women's rights activist	http://www.wikidata.org/entity/Q65123
Rosalynn Carter	-0.152	women's rights activist	http://www.wikidata.org/entity/Q219353
Waris Dirie	-0.163	women's rights activist	http://www.wikidata.org/entity/Q78644
Linda Lovelace	-0.194	women's rights activist	http://www.wikidata.org/entity/Q407
Alexandra Kollontai	-0.216	women's rights activist	http://www.wikidata.org/entity/Q179558
Bhimrao Ramji Ambedkar	-0.410	women's rights activist	http://www.wikidata.org/entity/Q231690
Friedrich Engels	-0.717	women's rights activist	http://www.wikidata.org/entity/Q34787
Murder on the Orient Express	0.913	mystery film	http://www.wikidata.org/entity/Q27689100
Glass Onion: A Knives Out Mystery	0.477	mystery film	http://www.wikidata.org/entity/Q84712797
Death on the Nile	0.436	mystery film	http://www.wikidata.org/entity/Q56816969
Knives Out	0.234	mystery film	http://www.wikidata.org/entity/Q57982486
Enola Holmes 2	0.102	mystery film	http://www.wikidata.org/entity/Q108764447
Angels & Demons	0.079	mystery film	http://www.wikidata.org/entity/Q192934
Enola Holmes	0.000	mystery film	http://www.wikidata.org/entity/Q65032692
Where the Crawdads Sing	-0.024	mystery film	http://www.wikidata.org/entity/Q106311043
Inception	-0.047	mystery film	http://www.wikidata.org/entity/Q25188
Don't Worry Darling	-0.067	mystery film	http://www.wikidata.org/entity/Q100801718
Memento	-0.140	mystery film	http://www.wikidata.org/entity/Q190525
Scream	-0.156	mystery film	http://www.wikidata.org/entity/Q27411
Scream 4	-0.184	mystery film	http://www.wikidata.org/entity/Q323392
Get Out	-0.195	mystery film	http://www.wikidata.org/entity/Q25136235
Blade Runner 2049	-0.196	mystery film	http://www.wikidata.org/entity/Q21500755
Unbreakable	-0.286	mystery film	http://www.wikidata.org/entity/Q650613
Jason Bourne	-0.476	mystery film	http://www.wikidata.org/entity/Q19481099
Karl Marx	0.932	philosopher	http://www.wikidata.org/entity/Q9061
Leon Trotsky	0.564	philosopher	http://www.wikidata.org/entity/Q33391
Leo Tolstoy	0.368	philosopher	http://www.wikidata.org/entity/Q7243
Fyodor Dostoyevsky	0.368	philosopher	http://www.wikidata.org/entity/Q991
Mahatma Gandhi	0.277	philosopher	http://www.wikidata.org/entity/Q1001
Aleksandr Dugin	0.190	philosopher	http://www.wikidata.org/entity/Q438839
Thomas Jefferson	0.137	philosopher	http://www.wikidata.org/entity/Q11812
Alexander Hamilton	0.000	philosopher	http://www.wikidata.org/entity/Q178903
Johann Wolfgang von Goethe	-0.028	philosopher	http://www.wikidata.org/entity/Q5879
Raisa Gorbacheva	-0.050	philosopher	http://www.wikidata.org/entity/Q229520
Marcus Aurelius	-0.093	philosopher	http://www.wikidata.org/entity/Q1430
Mao Zedong	-0.114	philosopher	http://www.wikidata.org/entity/Q5816
Richard Harris	-0.225	philosopher	http://www.wikidata.org/entity/Q106775
philosophy	-0.289	philosopher	http://www.wikidata.org/entity/Q5891
John Paul II	-0.333	philosopher	http://www.wikidata.org/entity/Q989
Benedict XVI	-0.436	philosopher	http://www.wikidata.org/entity/Q2494
Bruce Lee	-0.440	philosopher	http://www.wikidata.org/entity/Q16397
Halloween	0.892	horror film	http://www.wikidata.org/entity/Q221103
Halloween Kills	0.848	horror film	http://www.wikidata.org/entity/Q67279679
Halloween Ends	0.577	horror film	http://www.wikidata.org/entity/Q85997053
The Silence of the Lambs	0.571	horror film	http://www.wikidata.org/entity/Q133654
Resident Evil: Apocalypse	0.488	horror film	http://www.wikidata.org/entity/Q161400
Hannibal	0.455	horror film	http://www.wikidata.org/entity/Q722682
Alien	0.341	horror film	http://www.wikidata.org/entity/Q103569
Resident Evil: Retribution	0.318	horror film	http://www.wikidata.org/entity/Q83542
Alien: Covenant	0.269	horror film	http://www.wikidata.org/entity/Q20430699
Glass	0.026	horror film	http://www.wikidata.org/entity/Q30939513
Unbreakable	-0.051	horror film	http://www.wikidata.org/entity/Q650613
Prometheus	-0.051	horror film	http://www.wikidata.org/entity/Q192686
Morbius	-0.079	horror film	http://www.wikidata.org/entity/Q55405369
Don't Worry Darling	-0.106	horror film	http://www.wikidata.org/entity/Q100801718
X	-0.122	horror film	http://www.wikidata.org/entity/Q105605250
Nope	-0.130	horror film	http://www.wikidata.org/entity/Q107176162
Split	-0.279	horror film	http://www.wikidata.org/entity/Q21869840
The Addams Family	-0.333	horror film	http://www.wikidata.org/entity/Q1210947
Doctor Strange in the Multiverse of Madness	-0.347	horror film	http://www.wikidata.org/entity/Q64211112
Guillermo del Toro	-0.575	horror film	http://www.wikidata.org/entity/Q219124
Addams Family Values	-0.810	horror film	http://www.wikidata.org/entity/Q204725
Sony's Spider-Man Universe	-0.864	horror film	http://www.wikidata.org/entity/Q55537283
LeBron James	0.830	basketball player	http://www.wikidata.org/entity/Q36159
Michael Jordan	0.829	basketball player	http://www.wikidata.org/entity/Q41421
Stephen Curry	0.634	basketball player	http://www.wikidata.org/entity/Q352159
Shaquille O'Neal	0.591	basketball player	http://www.wikidata.org/entity/Q169452
Kareem Abdul-Jabbar	0.452	basketball player	http://www.wikidata.org/entity/Q179051
Kobe Bryant	0.450	basketball player	http://www.wikidata.org/entity/Q25369
Larry Bird	0.436	basketball player	http://www.wikidata.org/entity/Q190152
