answer	score	topic	URI
Despicable Me 2	0.275	animated film	http://www.wikidata.org/entity/Q637212
DC League of Super-Pets	0.256	animated film	http://www.wikidata.org/entity/Q106953528
Hotel Transylvania: Transformania	0.135	animated film	http://www.wikidata.org/entity/Q65973230
Sing 2	0.073	animated film	http://www.wikidata.org/entity/Q30933418
DreamWorks Animation	-0.024	animated film	http://www.wikidata.org/entity/Q500088
Walt Disney Animation Studios	-0.067	animated film	http://www.wikidata.org/entity/Q1047410
Walt Disney	-0.100	animated film	http://www.wikidata.org/entity/Q8704
Turning Red	-0.182	animated film	http://www.wikidata.org/entity/Q104845027
The Bad Guys	-0.205	animated film	http://www.wikidata.org/entity/Q97288428
Studio Ghibli	-0.216	animated film	http://www.wikidata.org/entity/Q182950
Star Wars: The Clone Wars	-0.263	animated film	http://www.wikidata.org/entity/Q382289
The Addams Family	-0.333	animated film	http://www.wikidata.org/entity/Q54825652
Kvartal 95	-0.465	animated film	http://www.wikidata.org/entity/Q4444575
Star Trek: Prodigy	-0.513	animated film	http://www.wikidata.org/entity/Q65250765
Clancy Brown	-0.519	animated film	http://www.wikidata.org/entity/Q4488
God of War: Chains of Olympus	0.638	action game	http://www.wikidata.org/entity/Q1341921
Counter-Strike: Global Offensive	0.553	action game	http://www.wikidata.org/entity/Q842146
Doom 3	0.509	action game	http://www.wikidata.org/entity/Q203310
Metal Gear Rising: Revengeance	0.415	action game	http://www.wikidata.org/entity/Q930345
Resident Evil Village	0.256	action game	http://www.wikidata.org/entity/Q96216515
Return to Castle Wolfenstein	0.146	action game	http://www.wikidata.org/entity/Q748317
Bayonetta	0.100	action game	http://www.wikidata.org/entity/Q791569
S.T.A.L.K.E.R. 2: Heart of Chornobyl	0.089	action game	http://www.wikidata.org/entity/Q10865101
Dota 2	0.000	action game	http://www.wikidata.org/entity/Q771541
The Last of Us Part II	-0.070	action game	http://www.wikidata.org/entity/Q27950674
Suicide Squad: Kill The Justice League	-0.079	action game	http://www.wikidata.org/entity/Q98142979
Kingdom Hearts	-0.159	action game	http://www.wikidata.org/entity/Q755167
Death Stranding	-0.217	action game	http://www.wikidata.org/entity/Q24666782
action-adventure game	-0.226	action game	http://www.wikidata.org/entity/Q343568
action role-playing game	-0.333	action game	http://www.wikidata.org/entity/Q1422746
Ratchet & Clank: Rift Apart	-0.395	action game	http://www.wikidata.org/entity/Q96217480
survival game	-0.465	action game	http://www.wikidata.org/entity/Q21030988
Barry Bonds	0.911	athlete	http://www.wikidata.org/entity/Q314712
Tyson Fury	0.568	athlete	http://www.wikidata.org/entity/Q1000592
Ronda Rousey	0.511	athlete	http://www.wikidata.org/entity/Q242201
Toni Schumacher	0.341	athlete	http://www.wikidata.org/entity/Q157847
Vladimir Turchinsky	0.095	athlete	http://www.wikidata.org/entity/Q2416148
Brandon Curry	0.024	athlete	http://www.wikidata.org/entity/Q4956829
Joey Kelly	0.000	athlete	http://www.wikidata.org/entity/Q1548144
Gustav Schwarzenegger	-0.042	athlete	http://www.wikidata.org/entity/Q3288486
Dave Bautista	-0.050	athlete	http://www.wikidata.org/entity/Q44158
Nikolai Fomenko	-0.064	athlete	http://www.wikidata.org/entity/Q380407
Jet Li	-0.065	athlete	http://www.wikidata.org/entity/Q159577
Kevin Peter Hall	-0.100	athlete	http://www.wikidata.org/entity/Q361587
Wladimir Klitschko	-0.122	athlete	http://www.wikidata.org/entity/Q18797
Oleg Taktarov	-0.182	athlete	http://www.wikidata.org/entity/Q714669
Katerina Tikhonova	-0.262	athlete	http://www.wikidata.org/entity/Q19364345
Raymond van Barneveld	-0.326	athlete	http://www.wikidata.org/entity/Q1968959
Polina Iodis	-0.436	athlete	http://www.wikidata.org/entity/Q4202684
Total War: Three Kingdoms	0.750	strategy video game	http://www.wikidata.org/entity/Q48928832
Total War Saga: Thrones of Britannia	0.568	strategy video game	http://www.wikidata.org/entity/Q52239827
Clash of Clans	0.524	strategy video game	http://www.wikidata.org/entity/Q13399098
World of Tanks Blitz	0.385	strategy video game	http://www.wikidata.org/entity/Q16273519
Warhammer 40,000: Dawn of War III	0.326	strategy video game	http://www.wikidata.org/entity/Q24032098
Mount & Blade II: Bannerlord	0.162	strategy video game	http://www.wikidata.org/entity/Q18361009
Clash Royale	0.136	strategy video game	http://www.wikidata.org/entity/Q22095476
Empire of Sin	0.000	strategy video game	http://www.wikidata.org/entity/Q64945366
UFO: Enemy Unknown	-0.026	strategy video game	http://www.wikidata.org/entity/Q1261715
Neighbours from Hell	-0.060	strategy video game	http://www.wikidata.org/entity/Q905308
Sid Meier's Pirates!	-0.089	strategy video game	http://www.wikidata.org/entity/Q2096756
Honkai: Star Rail	-0.095	strategy video game	http://www.wikidata.org/entity/Q108896777
X-COM	-0.235	strategy video game	http://www.wikidata.org/entity/Q578544
Neighbours from Hell 2: On Vacation	-0.359	strategy video game	http://www.wikidata.org/entity/Q684690
real-time strategy	-0.385	strategy video game	http://www.wikidata.org/entity/Q208189
Tamagotchi	-0.426	strategy video game	http://www.wikidata.org/entity/Q207786
Worms	-0.444	strategy video game	http://www.wikidata.org/entity/Q7903060
4X	-0.512	strategy video game	http://www.wikidata.org/entity/Q603555
Kemal Kılıçdaroğlu	0.562	Turks	http://www.wikidata.org/entity/Q44332
Turkic peoples	0.558	Turks	http://www.wikidata.org/entity/Q83328
Bahaeddin Şakir	0.500	Turks	http://www.wikidata.org/entity/Q2616976
Mesut Özil	0.500	Turks	http://www.wikidata.org/entity/Q83488
Turkish diaspora	0.222	Turks	http://www.wikidata.org/entity/Q1796235
Turkey	0.220	Turks	http://www.wikidata.org/entity/Q43
Turkish	0.114	Turks	http://www.wikidata.org/entity/Q256
Turks in Germany	0.105	Turks	http://www.wikidata.org/entity/Q704608
Bibras Natcho	-0.186	Turks	http://www.wikidata.org/entity/Q559910
The Turk	-0.214	Turks	http://www.wikidata.org/entity/Q275924
2016 Turkish coup d'état attempt	-0.324	Turks	http://www.wikidata.org/entity/Q25906338
Karamanlides	-0.326	Turks	http://www.wikidata.org/entity/Q252692
Asian people	-0.531	Turks	http://www.wikidata.org/entity/Q4058325
Germany	-0.804	Turks	http://www.wikidata.org/entity/Q183
Law & Order: Special Victims Unit	0.705	crime television series	http://www.wikidata.org/entity/Q218567
The Sopranos	0.703	crime television series	http://www.wikidata.org/entity/Q23628
Law & Order	0.600	crime television series	http://www.wikidata.org/entity/Q321423
Criminal Minds	0.523	crime television series	http://www.wikidata.org/entity/Q202141
True Detective	0.478	crime television series	http://www.wikidata.org/entity/Q7847400
NCIS	0.429	crime television series	http://www.wikidata.org/entity/Q4525
Breaking Bad	0.388	crime television series	http://www.wikidata.org/entity/Q1079
Columbo	0.225	crime television series	http://www.wikidata.org/entity/Q371207
Dahmer – Monster: The Jeffrey Dahmer Story	0.119	crime television series	http://www.wikidata.org/entity/Q106188426
The Blacklist	0.091	crime television series	http://www.wikidata.org/entity/Q13148212
Fargo	0.081	crime television series	http://www.wikidata.org/entity/Q15931555
The Boys	-0.297	crime television series	http://www.wikidata.org/entity/Q48796994
Twin Peaks	-0.351	crime television series	http://www.wikidata.org/entity/Q2085
Brigada	-0.408	crime television series	http://www.wikidata.org/entity/Q915313
Chikatilo	-0.477	crime television series	http://www.wikidata.org/entity/Q105668766
Die Rosenheim-Cops	-0.500	crime television series	http://www.wikidata.org/entity/Q1215825
Wednesday	-0.683	crime television series	http://www.wikidata.org/entity/Q105553568
Tatort	-0.694	crime television series	http://www.wikidata.org/entity/Q689438
Dr. Dre	0.974	rapper	http://www.wikidata.org/entity/Q6078
Tupac Shakur	0.947	rapper	http://www.wikidata.org/entity/Q6107
The Notorious B.I.G.	0.667	rapper	http://www.wikidata.org/entity/Q179157
Machine Gun Kelly	0.632	rapper	http://www.wikidata.org/entity/Q1354843
Kanye West	0.421	rapper	http://www.wikidata.org/entity/Q15935
J-Hope	0.227	rapper	http://www.wikidata.org/entity/Q16236223
Offset	0.167	rapper	http://www.wikidata.org/entity/Q30612480
Takeoff	0.100	rapper	http://www.wikidata.org/entity/Q48719890
Oxxxymiron	0.045	rapper	http://www.wikidata.org/entity/Q4046107
Jaden Smith	0.000	rapper	http://www.wikidata.org/entity/Q221364
Quavo	-0.057	rapper	http://www.wikidata.org/entity/Q30072039
Eldzhey	-0.143	rapper	http://www.wikidata.org/entity/Q47037314
August Alsina	-0.171	rapper	http://www.wikidata.org/entity/Q15277032
H.P. Baxxter	-0.171	rapper	http://www.wikidata.org/entity/Q58049
Jamie Foxx	-0.186	rapper	http://www.wikidata.org/entity/Q171905
John Cena	-0.204	rapper	http://www.wikidata.org/entity/Q44437
Mark Wahlberg	-0.389	rapper	http://www.wikidata.org/entity/Q164119
Peter Fox	-0.541	rapper	http://www.wikidata.org/entity/Q76524
Shia LaBeouf	-0.615	rapper	http://www.wikidata.org/entity/Q180942
Joaquin Phoenix	-0.786	rapper	http://www.wikidata.org/entity/Q185140
Galileo Galilei	0.889	scientist	http://www.wikidata.org/entity/Q307
Alexander von Humboldt	0.559	scientist	http://www.wikidata.org/entity/Q6694
Sergei Korolev	0.468	scientist	http://www.wikidata.org/entity/Q170842
Mikhail Vassilyevich Lomonosov	0.421	scientist	http://www.wikidata.org/entity/Q58720
Egon Spengler	0.410	scientist	http://www.wikidata.org/entity/Q2602422
Leonardo da Vinci	0.381	scientist	http://www.wikidata.org/entity/Q762
Leonhard Euler	0.289	scientist	http://www.wikidata.org/entity/Q7604
Yury Luzhkov	0.237	scientist	http://www.wikidata.org/entity/Q156379
Max Born	0.189	scientist	http://www.wikidata.org/entity/Q58978
Lionel Logue	0.173	scientist	http://www.wikidata.org/entity/Q439693
Valentina Tazekenova	0.026	scientist	http://www.wikidata.org/entity/Q61585334
scientific method	-0.293	scientist	http://www.wikidata.org/entity/Q46857
Operation Paperclip	-0.310	scientist	http://www.wikidata.org/entity/Q444698
Frankenstein; or, The Modern Prometheus	-0.311	scientist	http://www.wikidata.org/entity/Q150827
Zack Snyder	-0.340	scientist	http://www.wikidata.org/entity/Q139890
Thirteenth Doctor	-0.367	scientist	http://www.wikidata.org/entity/Q33085422
science	-0.500	scientist	http://www.wikidata.org/entity/Q336
The Doctor	-0.526	scientist	http://www.wikidata.org/entity/Q34358
Spider-Man	-0.780	scientist	http://www.wikidata.org/entity/Q79037
Will Smith–Chris Rock slapping incident	0.714	Internet meme	http://www.wikidata.org/entity/Q111411145
Chuck Norris facts	0.625	Internet meme	http://www.wikidata.org/entity/Q937633
Pepe the Frog	0.512	Internet meme	http://www.wikidata.org/entity/Q21994166
Rickrolling	0.302	Internet meme	http://www.wikidata.org/entity/Q695677
Russian warship, go fuck yourself	0.244	Internet meme	http://www.wikidata.org/entity/Q111019657
Doge	0.191	Internet meme	http://www.wikidata.org/entity/Q15613810
Mandela Effect	0.156	Internet meme	http://www.wikidata.org/entity/Q54765858
Chuck Norris	0.116	Internet meme	http://www.wikidata.org/entity/Q2673
@world_record_egg	0.000	Internet meme	http://www.wikidata.org/entity/Q60621480
Floppa	0.000	Internet meme	http://www.wikidata.org/entity/Q107162754
shock site	-0.064	Internet meme	http://www.wikidata.org/entity/Q1071902
alt-right	-0.214	Internet meme	http://www.wikidata.org/entity/Q23018230
Morbius	-0.225	Internet meme	http://www.wikidata.org/entity/Q55405369
list of Internet phenomena	-0.302	Internet meme	http://www.wikidata.org/entity/Q6023923
revenge porn	-0.528	Internet meme	http://www.wikidata.org/entity/Q15056789
ahegao	-0.556	Internet meme	http://www.wikidata.org/entity/Q54855979
lean	-0.674	Internet meme	http://www.wikidata.org/entity/Q899641
New York City	0.880	city in the United States	http://www.wikidata.org/entity/Q60
Los Angeles	0.692	city in the United States	http://www.wikidata.org/entity/Q65
Washington, D.C.	0.659	city in the United States	http://www.wikidata.org/entity/Q61
Miami	0.333	city in the United States	http://www.wikidata.org/entity/Q8652
Boston	0.326	city in the United States	http://www.wikidata.org/entity/Q100
Atlanta	0.294	city in the United States	http://www.wikidata.org/entity/Q23556
San Francisco	0.214	city in the United States	http://www.wikidata.org/entity/Q62
Houston	0.200	city in the United States	http://www.wikidata.org/entity/Q16555
Cincinnati	0.089	city in the United States	http://www.wikidata.org/entity/Q43196
New Orleans	-0.021	city in the United States	http://www.wikidata.org/entity/Q34404
Seattle	-0.136	city in the United States	http://www.wikidata.org/entity/Q5083
Sacramento	-0.244	city in the United States	http://www.wikidata.org/entity/Q18013
Anchorage	-0.487	city in the United States	http://www.wikidata.org/entity/Q39450
Cambridge	-0.577	city in the United States	http://www.wikidata.org/entity/Q49111
Juneau	-0.650	city in the United States	http://www.wikidata.org/entity/Q29445
Palo Alto	-0.650	city in the United States	http://www.wikidata.org/entity/Q47265
Home Alone 4	0.457	television film	http://www.wikidata.org/entity/Q946562
Sharknado 5: Global Swarming	0.425	television film	http://www.wikidata.org/entity/Q34200777
Sherlock Holmes and Dr. Watson	0.409	television film	http://www.wikidata.org/entity/Q2278391
Halloween with the New Addams Family	0.390	television film	http://www.wikidata.org/entity/Q2389865
All Quiet on the Western Front	0.326	television film	http://www.wikidata.org/entity/Q1093673
Werewolf by Night	0.320	television film	http://www.wikidata.org/entity/Q111426635
Blue Lagoon: The Awakening	0.312	television film	http://www.wikidata.org/entity/Q4142279
South Park: Post Covid	0.289	television film	http://www.wikidata.org/entity/Q109297645
The Hound of the Baskervilles	0.267	television film	http://www.wikidata.org/entity/Q1194440
Home Alone: The Holiday Heist	0.243	television film	http://www.wikidata.org/entity/Q1525034
South Park The Streaming Wars	0.231	television film	http://www.wikidata.org/entity/Q112123490
Addams Family Reunion	0.225	television film	http://www.wikidata.org/entity/Q352828
Friends: The Reunion	0.170	television film	http://www.wikidata.org/entity/Q106639064
Harry Potter 20th Anniversary: Return to Hogwarts	0.119	television film	http://www.wikidata.org/entity/Q110207138
Mary Poppins, Goodbye	0.114	television film	http://www.wikidata.org/entity/Q3736971
For Your Love Only	-0.143	television film	http://www.wikidata.org/entity/Q872548
Descendants	-0.146	television film	http://www.wikidata.org/entity/Q17278086
Hitler: The Rise of Evil	-0.167	television film	http://www.wikidata.org/entity/Q818968
Earwig and the Witch	-0.176	television film	http://www.wikidata.org/entity/Q96031360
Titanic	-0.395	television film	http://www.wikidata.org/entity/Q1426605
Conspiracy	-0.432	television film	http://www.wikidata.org/entity/Q706367
television pilot	-0.483	television film	http://www.wikidata.org/entity/Q653916
Die Wannseekonferenz	-0.514	television film	http://www.wikidata.org/entity/Q109263400
The Wannsee Conference	-0.535	television film	http://www.wikidata.org/entity/Q832471
Museum of Modern Art	0.791	museum of modern art	http://www.wikidata.org/entity/Q188740
MAXXI – National Museum of the 21st Century Arts	0.500	museum of modern art	http://www.wikidata.org/entity/Q1881229
National Museum of Capodimonte	0.432	museum of modern art	http://www.wikidata.org/entity/Q290549
Galleria Palatina	0.286	museum of modern art	http://www.wikidata.org/entity/Q866498
Gallerie dell'Accademia	0.211	museum of modern art	http://www.wikidata.org/entity/Q338330
Peggy Guggenheim Collection	0.154	museum of modern art	http://www.wikidata.org/entity/Q1049033
Moderna Museet	0.050	museum of modern art	http://www.wikidata.org/entity/Q1274511
Pinacoteca di Brera	-0.180	museum of modern art	http://www.wikidata.org/entity/Q150066
Palace of Caserta	-0.217	museum of modern art	http://www.wikidata.org/entity/Q327983
Pitti Palace	-0.273	museum of modern art	http://www.wikidata.org/entity/Q29286
Villa del Balbianello	-0.311	museum of modern art	http://www.wikidata.org/entity/Q1759446
Giardino dei Tarocchi	-0.326	museum of modern art	http://www.wikidata.org/entity/Q949846
Miramare Castle	-0.450	museum of modern art	http://www.wikidata.org/entity/Q165069
Isaac Newton	0.784	English people	http://www.wikidata.org/entity/Q935
George Orwell	0.514	English people	http://www.wikidata.org/entity/Q3335
Daniel Day-Lewis	0.419	English people	http://www.wikidata.org/entity/Q166389
Roger Moore	0.405	English people	http://www.wikidata.org/entity/Q134333
William Blake	0.386	English people	http://www.wikidata.org/entity/Q41513
Lucian Freud	0.182	English people	http://www.wikidata.org/entity/Q154594
Tom Hardy	0.077	English people	http://www.wikidata.org/entity/Q208026
Angel Coulby	-0.024	English people	http://www.wikidata.org/entity/Q254911
Anya Taylor-Joy	-0.051	English people	http://www.wikidata.org/entity/Q20882479
Dr. Livesey	-0.103	English people	http://www.wikidata.org/entity/Q4118056
Harry Potter	-0.133	English people	http://www.wikidata.org/entity/Q3244512
Australia	-0.795	English people	http://www.wikidata.org/entity/Q408
Clint Eastwood	-0.814	English people	http://www.wikidata.org/entity/Q43203
Michelangelo	0.775	Italians	http://www.wikidata.org/entity/Q5592
Sandro Botticelli	0.553	Italians	http://www.wikidata.org/entity/Q5669
Donatello	0.419	Italians	http://www.wikidata.org/entity/Q37562
Francis of Assisi	0.378	Italians	http://www.wikidata.org/entity/Q676555
Dante Gabriel Rossetti	0.370	Italians	http://www.wikidata.org/entity/Q186748
Raphael	0.327	Italians	http://www.wikidata.org/entity/Q5597
Agnelli family	0.231	Italians	http://www.wikidata.org/entity/Q21055394
Caravaggio	0.040	Italians	http://www.wikidata.org/entity/Q42207
Tarcisio Bertone	-0.054	Italians	http://www.wikidata.org/entity/Q44383
Mario	-0.109	Italians	http://www.wikidata.org/entity/Q12379
Michael Imperioli	-0.200	Italians	http://www.wikidata.org/entity/Q317358
Italian cuisine	-0.327	Italians	http://www.wikidata.org/entity/Q192786
Luigi	-0.353	Italians	http://www.wikidata.org/entity/Q210593
Australia	-0.952	Italians	http://www.wikidata.org/entity/Q408
deciduous plant	0.700	plant	http://www.wikidata.org/entity/Q1131316
perennial plant	0.595	plant	http://www.wikidata.org/entity/Q157957
common sunflower	0.550	plant	http://www.wikidata.org/entity/Q171497
evergreen plant	0.514	plant	http://www.wikidata.org/entity/Q190489
Pimpinella anisum	0.439	plant	http://www.wikidata.org/entity/Q28692
flora	0.333	plant	http://www.wikidata.org/entity/Q131449
seed plants	0.289	plant	http://www.wikidata.org/entity/Q25814
botany	0.263	plant	http://www.wikidata.org/entity/Q441
useful plant	0.216	plant	http://www.wikidata.org/entity/Q11992872
list of psychoactive plants	0.061	plant	http://www.wikidata.org/entity/Q3253234
carnivorous plant	0.047	plant	http://www.wikidata.org/entity/Q18240
Amaranthaceae	-0.025	plant	http://www.wikidata.org/entity/Q155931
Tracheophyta	-0.108	plant	http://www.wikidata.org/entity/Q27133
bryophyte	-0.225	plant	http://www.wikidata.org/entity/Q29993
root	-0.250	plant	http://www.wikidata.org/entity/Q41500
flavonoid	-0.326	plant	http://www.wikidata.org/entity/Q3561192
fungus	-0.350	plant	http://www.wikidata.org/entity/Q764
forage	-0.462	plant	http://www.wikidata.org/entity/Q13377214
C4 carbon fixation	-0.650	plant	http://www.wikidata.org/entity/Q283604
elephant	-0.800	plant	http://www.wikidata.org/entity/Q7378
Billie Eilish	0.579	BBC 100 Women	http://www.wikidata.org/entity/Q29564107
Selma Blair	0.378	BBC 100 Women	http://www.wikidata.org/entity/Q264748
Michelle Yeoh	0.373	BBC 100 Women	http://www.wikidata.org/entity/Q214289
Rita Moreno	0.225	BBC 100 Women	http://www.wikidata.org/entity/Q230151
Hilary Swank	0.209	BBC 100 Women	http://www.wikidata.org/entity/Q93187
Priyanka Chopra	0.179	BBC 100 Women	http://www.wikidata.org/entity/Q158957
Jane Fonda	0.154	BBC 100 Women	http://www.wikidata.org/entity/Q41142
Bella Thorne	0.147	BBC 100 Women	http://www.wikidata.org/entity/Q208117
Olena Zelenska	0.089	BBC 100 Women	http://www.wikidata.org/entity/Q59321885
Asha Bhosle	0.024	BBC 100 Women	http://www.wikidata.org/entity/Q38393
Sanna Marin	-0.027	BBC 100 Women	http://www.wikidata.org/entity/Q16986436
Ming-Na Wen	-0.119	BBC 100 Women	http://www.wikidata.org/entity/Q254205
Jameela Jamil	-0.297	BBC 100 Women	http://www.wikidata.org/entity/Q2404977
Ursula von der Leyen	-0.343	BBC 100 Women	http://www.wikidata.org/entity/Q60772
Alla Pugacheva	-0.375	BBC 100 Women	http://www.wikidata.org/entity/Q80510
Sviatlana Tsikhanouskaya	-0.595	BBC 100 Women	http://www.wikidata.org/entity/Q97010473
Avatar	0.846	3D film	http://www.wikidata.org/entity/Q24871
Jurassic World	0.475	3D film	http://www.wikidata.org/entity/Q3512046
Blade Runner 2049	0.356	3D film	http://www.wikidata.org/entity/Q21500755
Guardians of the Galaxy Vol. 2	0.255	3D film	http://www.wikidata.org/entity/Q20001199
Spider-Man: Homecoming	0.179	3D film	http://www.wikidata.org/entity/Q23010088
Aquaman	0.178	3D film	http://www.wikidata.org/entity/Q22998395
Captain America: Civil War	0.125	3D film	http://www.wikidata.org/entity/Q18407657
Harry Potter and the Deathly Hallows – Part 2	0.122	3D film	http://www.wikidata.org/entity/Q232009
Minions: The Rise of Gru	0.042	3D film	http://www.wikidata.org/entity/Q60997779
Star Wars Episode VII: The Force Awakens	0.023	3D film	http://www.wikidata.org/entity/Q6074
Rogue One	-0.024	3D film	http://www.wikidata.org/entity/Q19590955
Pirates of the Caribbean: Dead Men Tell No Tales	-0.098	3D film	http://www.wikidata.org/entity/Q10350033
Fantastic Beasts and Where to Find Them	-0.133	3D film	http://www.wikidata.org/entity/Q18199330
Pirates of the Caribbean: On Stranger Tides	-0.231	3D film	http://www.wikidata.org/entity/Q183555
Fantastic Beasts: The Crimes of Grindelwald	-0.245	3D film	http://www.wikidata.org/entity/Q18199331
Suicide Squad	-0.250	3D film	http://www.wikidata.org/entity/Q18604504
Justice League	-0.286	3D film	http://www.wikidata.org/entity/Q20501835
Furious 7	-0.349	3D film	http://www.wikidata.org/entity/Q14650496
Barack Obama	0.676	African Americans	http://www.wikidata.org/entity/Q76
Denzel Washington	0.522	African Americans	http://www.wikidata.org/entity/Q42101
Serena Williams	0.514	African Americans	http://www.wikidata.org/entity/Q11459
Morgan Freeman	0.417	African Americans	http://www.wikidata.org/entity/Q48337
Venus Williams	0.405	African Americans	http://www.wikidata.org/entity/Q11578
Tupac Shakur	0.200	African Americans	http://www.wikidata.org/entity/Q6107
Jamie Foxx	0.154	African Americans	http://www.wikidata.org/entity/Q171905
Will Smith	0.143	African Americans	http://www.wikidata.org/entity/Q40096
Kamala Harris	0.130	African Americans	http://www.wikidata.org/entity/Q10853588
Michael Jackson	0.075	African Americans	http://www.wikidata.org/entity/Q2831
Kanye West	0.073	African Americans	http://www.wikidata.org/entity/Q15935
Jimi Hendrix	0.000	African Americans	http://www.wikidata.org/entity/Q5928
Jada Pinkett Smith	-0.370	African Americans	http://www.wikidata.org/entity/Q228787
Confederate States	-0.636	African Americans	http://www.wikidata.org/entity/Q81931
United States of America	-0.676	African Americans	http://www.wikidata.org/entity/Q30
Christopher Scarver	-0.714	African Americans	http://www.wikidata.org/entity/Q2357346
Guitar Hero II	0.854	music video game	http://www.wikidata.org/entity/Q1798154
Guitar Hero	0.789	music video game	http://www.wikidata.org/entity/Q533752
Guitar Hero III: Legends of Rock	0.674	music video game	http://www.wikidata.org/entity/Q1047938
Just Dance 2022	0.475	music video game	http://www.wikidata.org/entity/Q99477498
Just Dance	0.357	music video game	http://www.wikidata.org/entity/Q1714101
Just Dance 2020	0.277	music video game	http://www.wikidata.org/entity/Q64533003
Just Dance 2021	0.256	music video game	http://www.wikidata.org/entity/Q98657399
Dance Dance Revolution	0.205	music video game	http://www.wikidata.org/entity/Q908392
Kingdom Hearts: Melody of Memory	0.191	music video game	http://www.wikidata.org/entity/Q96603714
Michael Jackson: The Experience	0.025	music video game	http://www.wikidata.org/entity/Q1308224
PaRappa the Rapper	0.024	music video game	http://www.wikidata.org/entity/Q1340462
Beat Saber	-0.023	music video game	http://www.wikidata.org/entity/Q53998035
Elite Beat Agents	-0.023	music video game	http://www.wikidata.org/entity/Q1196429
SingStar	-0.050	music video game	http://www.wikidata.org/entity/Q1502333
Hatsune Miku: Project DIVA	-0.071	music video game	http://www.wikidata.org/entity/Q553201
Frets on Fire	-0.118	music video game	http://www.wikidata.org/entity/Q1362771
Patapon 3	-0.150	music video game	http://www.wikidata.org/entity/Q4046527
Patapon 2	-0.385	music video game	http://www.wikidata.org/entity/Q2671323
To be on Top	-0.390	music video game	http://www.wikidata.org/entity/Q31837535
rhythm game	-0.487	music video game	http://www.wikidata.org/entity/Q2632782
Space Channel 5	-0.558	music video game	http://www.wikidata.org/entity/Q66058371
Sayonara Wild Hearts	-0.659	music video game	http://www.wikidata.org/entity/Q76122450
osu!	-0.727	music video game	http://www.wikidata.org/entity/Q307441
Paul McCartney	0.556	guitarist	http://www.wikidata.org/entity/Q2599
Chris Cornell	0.535	guitarist	http://www.wikidata.org/entity/Q270935
Tommy Lee	0.531	guitarist	http://www.wikidata.org/entity/Q331748
John Lennon	0.413	guitarist	http://www.wikidata.org/entity/Q1203
Chris Martin	0.370	guitarist	http://www.wikidata.org/entity/Q712860
Taylor Swift	0.348	guitarist	http://www.wikidata.org/entity/Q26876
Freddie Mercury	0.179	guitarist	http://www.wikidata.org/entity/Q15869
Paul Landers	0.132	guitarist	http://www.wikidata.org/entity/Q165644
Tom Kaulitz	0.100	guitarist	http://www.wikidata.org/entity/Q1622098
Yegor Letov	-0.026	guitarist	http://www.wikidata.org/entity/Q363371
Jared Leto	-0.050	guitarist	http://www.wikidata.org/entity/Q484523
Sergey Bezrukov	-0.062	guitarist	http://www.wikidata.org/entity/Q473580
Harry Styles	-0.075	guitarist	http://www.wikidata.org/entity/Q3626966
Pavel Maykov	-0.085	guitarist	http://www.wikidata.org/entity/Q3656891
Richard Kruspe	-0.100	guitarist	http://www.wikidata.org/entity/Q77040
Jesse Plemons	-0.111	guitarist	http://www.wikidata.org/entity/Q1138674
Paul Bettany	-0.170	guitarist	http://www.wikidata.org/entity/Q242707
Viktor Tsoi	-0.216	guitarist	http://www.wikidata.org/entity/Q487125
Johnny Depp	-0.256	guitarist	http://www.wikidata.org/entity/Q37175
Shura Bi-2	-0.318	guitarist	http://www.wikidata.org/entity/Q4527923
Adam Sandler	-0.413	guitarist	http://www.wikidata.org/entity/Q132952
River Phoenix	-0.514	guitarist	http://www.wikidata.org/entity/Q106514
National Lampoon's Christmas Vacation	0.872	Christmas film	http://www.wikidata.org/entity/Q1421476
The Santa Clauses	0.822	Christmas film	http://www.wikidata.org/entity/Q111947838
Dr. Seuss' How the Grinch Stole Christmas	0.744	Christmas film	http://www.wikidata.org/entity/Q131864
Home Alone	0.717	Christmas film	http://www.wikidata.org/entity/Q105031
Home Alone 3	0.308	Christmas film	http://www.wikidata.org/entity/Q382320
The Guardians of the Galaxy Holiday Special	0.240	Christmas film	http://www.wikidata.org/entity/Q106729096
Home Alone 2: Lost in New York	0.231	Christmas film	http://www.wikidata.org/entity/Q221202
Home Alone 4	0.190	Christmas film	http://www.wikidata.org/entity/Q946562
Die Hard	0.174	Christmas film	http://www.wikidata.org/entity/Q105598
Love Actually	0.050	Christmas film	http://www.wikidata.org/entity/Q190588
Edward Scissorhands	-0.158	Christmas film	http://www.wikidata.org/entity/Q217182
Three Nuts for Cinderella	-0.178	Christmas film	http://www.wikidata.org/entity/Q140447
Die Hard 2	-0.349	Christmas film	http://www.wikidata.org/entity/Q105993
Batman Returns	-0.368	Christmas film	http://www.wikidata.org/entity/Q189054
Silver Linings Playbook	-0.472	Christmas film	http://www.wikidata.org/entity/Q116845
Eyes Wide Shut	-0.525	Christmas film	http://www.wikidata.org/entity/Q209481
Shazam!	-0.541	Christmas film	http://www.wikidata.org/entity/Q23685878
On Her Majesty's Secret Service	-0.561	Christmas film	http://www.wikidata.org/entity/Q107894
Kennedy Center Honors	-0.820	Christmas film	http://www.wikidata.org/entity/Q1738793
Mount Everest	0.957	mountain	http://www.wikidata.org/entity/Q513
Mount Vesuvius	0.590	mountain	http://www.wikidata.org/entity/Q524
