wdtEntity	category	categoryLabel	count	AP	SA	SG	AB	ED	Count		Note		76
http://www.wikidata.org/entity/Q759421	http://www.wikidata.org/entity/Q8668973	Category:Nature reserves in Germany	19996	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q635734	http://www.wikidata.org/entity/Q8261185	Category:Archivists	19937	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q15981151	http://www.wikidata.org/entity/Q7040017	Category:Jazz musicians	19914	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q1093829	http://www.wikidata.org/entity/Q6127538	Category:Cities in the United States	19698	TRUE	TRUE	TRUE	FALSE	FALSE	3				
http://www.wikidata.org/entity/Q822146	http://www.wikidata.org/entity/Q9866881	Category:Lyricists	19647	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8577	http://www.wikidata.org/entity/Q7215607	Category:2012 Summer Olympics	19589	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q1366112	http://www.wikidata.org/entity/Q6315457	Category:Drama television series	19277	TRUE	TRUE	TRUE	FALSE	FALSE	3				
http://www.wikidata.org/entity/Q8558	http://www.wikidata.org/entity/Q7215606	Category:2004 Summer Olympics	19185	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q200092	http://www.wikidata.org/entity/Q7237429	Category:Horror films	18500	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q49114	http://www.wikidata.org/entity/Q6376141	Category:Brown University faculty	17470	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q4416090	http://www.wikidata.org/entity/Q8814424	Category:United States senators	17251	TRUE	FALSE	TRUE	FALSE	FALSE	2				
http://www.wikidata.org/entity/Q10891456	http://www.wikidata.org/entity/Q8875080	Category:Members of the National People's Congress	16401	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q2252262	http://www.wikidata.org/entity/Q5636347	Category:Rappers	16229	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q56425237	http://www.wikidata.org/entity/Q6653319	Category:Songs by songwriter	16175	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8488	http://www.wikidata.org/entity/Q8173704	Category:1992 Summer Olympics	15763	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q21142718	http://www.wikidata.org/entity/Q7215706	Category:Accidental deaths	15593	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q49085	http://www.wikidata.org/entity/Q6309048	Category:African-American people	15579	TRUE	TRUE	TRUE	FALSE	FALSE	3				
http://www.wikidata.org/entity/Q4079154	http://www.wikidata.org/entity/Q6718400	Category:Volga basin	15440	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q833163	http://www.wikidata.org/entity/Q8574999	Category:Knights Bachelor	14790	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8470	http://www.wikidata.org/entity/Q8169670	Category:1988 Summer Olympics	14122	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q2599593	http://www.wikidata.org/entity/Q8491010	Category:Germanists	13885	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q16024163	http://www.wikidata.org/entity/Q8819333	Category:Streets in Paris	13257	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q58825429	http://www.wikidata.org/entity/Q7039486	Category:Olympic competitors	12966	TRUE	FALSE	TRUE	FALSE	FALSE	2				
http://www.wikidata.org/entity/Q729	http://www.wikidata.org/entity/Q7157802	Category:Animals	12724	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q63975020	http://www.wikidata.org/entity/Q9073380	Category:Musical theatre characters	12518	TRUE	FALSE	FALSE	FALSE	FALSE	1				
http://www.wikidata.org/entity/Q45400320	http://www.wikidata.org/entity/Q22443046	Category:Open access publishers	12186	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q862086	http://www.wikidata.org/entity/Q6994462	Category:Indian people	12150	TRUE	TRUE	TRUE	FALSE	FALSE	3				
http://www.wikidata.org/entity/Q188451	http://www.wikidata.org/entity/Q6134246	Category:Music genres	12122	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q319221	http://www.wikidata.org/entity/Q7237410	Category:Adventure films	12076	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q56351315	http://www.wikidata.org/entity/Q8512920	Category:High schools in Japan	12052	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q202866	http://www.wikidata.org/entity/Q6522809	Category:Animated films	11977	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q170826	http://www.wikidata.org/entity/Q7031850	Category:Irish people	11976	TRUE	FALSE	TRUE	FALSE	FALSE	2				
http://www.wikidata.org/entity/Q170826	http://www.wikidata.org/entity/Q9560155	Category:People of Ireland	11976	TRUE	FALSE	FALSE	FALSE	FALSE	1		same as Category:Irish people		
http://www.wikidata.org/entity/Q1195942	http://www.wikidata.org/entity/Q8459636	Category:Fire stations	11559	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q187916	http://www.wikidata.org/entity/Q6266825	Category:Horse races	11374	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q386854	http://www.wikidata.org/entity/Q10238627	Category:Drummers	11348	TRUE	FALSE	TRUE	TRUE	FALSE	3				
http://www.wikidata.org/entity/Q2887503	http://www.wikidata.org/entity/Q8633403	Category:Ob basin	11271	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q15964890	http://www.wikidata.org/entity/Q8619473	Category:Members of the House of Commons of Canada	11098	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q13423499	http://www.wikidata.org/entity/Q8917358	Category:Mayors of places in the Netherlands	11073	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q15630849	http://www.wikidata.org/entity/Q9806807	Category:Villages in Bulgaria	11012	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8438	http://www.wikidata.org/entity/Q6577801	Category:1972 Summer Olympics	10953	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q18952564	http://www.wikidata.org/entity/Q7001705	Category:Members of the British House of Lords	10931	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q1268687	http://www.wikidata.org/entity/Q9109090	Category:Lost films	10748	TRUE	FALSE	FALSE	FALSE	FALSE	1				
http://www.wikidata.org/entity/Q5442484	http://www.wikidata.org/entity/Q8445853	Category:Fellows of the American Association for the Advancement of Science	10704	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q26817508	http://www.wikidata.org/entity/Q6455429	Category:Rose cultivars	10688	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q202883	http://www.wikidata.org/entity/Q6821581	Category:Veterinarians	10555	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q645928	http://www.wikidata.org/entity/Q6837859	Category:Biographical films	10340	TRUE	FALSE	TRUE	FALSE	FALSE	2				
http://www.wikidata.org/entity/Q22580836	http://www.wikidata.org/entity/Q8203837	Category:Villages in Latvia	10031	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q2762504	http://www.wikidata.org/entity/Q7468173	Category:Indie games	9952	TRUE	FALSE	TRUE	FALSE	FALSE	2				
http://www.wikidata.org/entity/Q12201526	http://www.wikidata.org/entity/Q9130746	Category:Members of the Order of the British Empire	9754	FALSE	FALSE	FALSE	FALSE	FALSE	0				
