	wdtEntity	category	categoryLabel	count	dbp_count
91	http://www.wikidata.org/entity/Q45400320	http://www.wikidata.org/entity/Q22443046	Category:Open access publishers	12186	59
92	http://www.wikidata.org/entity/Q862086	http://www.wikidata.org/entity/Q6994462	Category:Indian people	12150	47
93	http://www.wikidata.org/entity/Q188451	http://www.wikidata.org/entity/Q6134246	Category:Music genres	12122	106
94	http://www.wikidata.org/entity/Q319221	http://www.wikidata.org/entity/Q7237410	Category:Adventure films	12076	28
95	http://www.wikidata.org/entity/Q56351315	http://www.wikidata.org/entity/Q8512920	Category:High schools in Japan	12052	44
96	http://www.wikidata.org/entity/Q202866	http://www.wikidata.org/entity/Q6522809	Category:Animated films	11977	36
97	http://www.wikidata.org/entity/Q170826	http://www.wikidata.org/entity/Q9560155	Category:People of Ireland	11976	0
98	http://www.wikidata.org/entity/Q170826	http://www.wikidata.org/entity/Q7031850	Category:Irish people	11976	40
99	http://www.wikidata.org/entity/Q1195942	http://www.wikidata.org/entity/Q8459636	Category:Fire stations	11559	7
100	http://www.wikidata.org/entity/Q187916	http://www.wikidata.org/entity/Q6266825	Category:Horse races	11374	13
101	http://www.wikidata.org/entity/Q386854	http://www.wikidata.org/entity/Q10238627	Category:Drummers	11348	40
102	http://www.wikidata.org/entity/Q2887503	http://www.wikidata.org/entity/Q8633403	Category:Ob basin	11271	10
103	http://www.wikidata.org/entity/Q15964890	http://www.wikidata.org/entity/Q8619473	Category:Members of the House of Commons of Canada	11098	13
104	http://www.wikidata.org/entity/Q13423499	http://www.wikidata.org/entity/Q8917358	Category:Mayors of places in the Netherlands	11073	11
105	http://www.wikidata.org/entity/Q15630849	http://www.wikidata.org/entity/Q9806807	Category:Villages in Bulgaria	11012	29
106	http://www.wikidata.org/entity/Q8438	http://www.wikidata.org/entity/Q6577801	Category:1972 Summer Olympics	10953	21
107	http://www.wikidata.org/entity/Q18952564	http://www.wikidata.org/entity/Q7001705	Category:Members of the British House of Lords	10931	10
108	http://www.wikidata.org/entity/Q1268687	http://www.wikidata.org/entity/Q9109090	Category:Lost films	10748	25
109	http://www.wikidata.org/entity/Q5442484	http://www.wikidata.org/entity/Q8445853	Category:Fellows of the American Association for the Advancement of Science	10704	500
110	http://www.wikidata.org/entity/Q26817508	http://www.wikidata.org/entity/Q6455429	Category:Rose cultivars	10688	38
111	http://www.wikidata.org/entity/Q202883	http://www.wikidata.org/entity/Q6821581	Category:Veterinarians	10555	14
112	http://www.wikidata.org/entity/Q645928	http://www.wikidata.org/entity/Q6837859	Category:Biographical films	10340	22
113	http://www.wikidata.org/entity/Q22580836	http://www.wikidata.org/entity/Q8203837	Category:Villages in Latvia	10031	37
114	http://www.wikidata.org/entity/Q2762504	http://www.wikidata.org/entity/Q7468173	Category:Indie games	9952	500
115	http://www.wikidata.org/entity/Q12201526	http://www.wikidata.org/entity/Q9130746	Category:Members of the Order of the British Empire	9754	500
116	http://www.wikidata.org/entity/Q36602	http://www.wikidata.org/entity/Q8098506	Category:Orders (biology)	9701	10
117	http://www.wikidata.org/entity/Q17517379	http://www.wikidata.org/entity/Q8254295	Category:Animated short films	9699	14
118	http://www.wikidata.org/entity/Q19022	http://www.wikidata.org/entity/Q6583701	Category:2010s	9676	58
119	http://www.wikidata.org/entity/Q8429	http://www.wikidata.org/entity/Q8155133	Category:1968 Summer Olympics	9318	15
120	http://www.wikidata.org/entity/Q12047389	http://www.wikidata.org/entity/Q9544340	Category:Faculty of Law, Charles University	9266	0
121	http://www.wikidata.org/entity/Q22988604	http://www.wikidata.org/entity/Q8500207	Category:Characters in Greek mythology	9216	328
122	http://www.wikidata.org/entity/Q2705098	http://www.wikidata.org/entity/Q7236639	Category:Japanese television personalities	9160	500
123	http://www.wikidata.org/entity/Q3501317	http://www.wikidata.org/entity/Q6813392	Category:Fashion designers	8977	22
124	http://www.wikidata.org/entity/Q51049922	http://www.wikidata.org/entity/Q7714819	Category:Villages in Estonia	8955	17
125	http://www.wikidata.org/entity/Q6430706	http://www.wikidata.org/entity/Q6997791	Category:Critics	8867	56
126	http://www.wikidata.org/entity/Q19692233	http://www.wikidata.org/entity/Q6992752	Category:Lists of people	8723	38
127	http://www.wikidata.org/entity/Q8444	http://www.wikidata.org/entity/Q8160655	Category:1976 Summer Olympics	8679	19
128	http://www.wikidata.org/entity/Q51078983	http://www.wikidata.org/entity/Q9532431	Category:Members of the Chinese People's Political Consultative Conference	8585	22
129	http://www.wikidata.org/entity/Q6087309	http://www.wikidata.org/entity/Q25201751	Category:Members of the Cortes Españolas	8544	36
130	http://www.wikidata.org/entity/Q8450	http://www.wikidata.org/entity/Q6577663	Category:1980 Summer Olympics	8457	22
131	http://www.wikidata.org/entity/Q12800682	http://www.wikidata.org/entity/Q7217608	Category:Saxophonists	8135	31
132	http://www.wikidata.org/entity/Q2504617	http://www.wikidata.org/entity/Q8083284	Category:Romance philologists	8073	94
133	http://www.wikidata.org/entity/Q1643514	http://www.wikidata.org/entity/Q8652200	Category:Music arrangers	7931	47
134	http://www.wikidata.org/entity/Q369747	http://www.wikidata.org/entity/Q7141724	Category:War films	7697	24
135	http://www.wikidata.org/entity/Q13382519	http://www.wikidata.org/entity/Q7217605	Category:Table tennis players	7627	14
136	http://www.wikidata.org/entity/Q1734662	http://www.wikidata.org/entity/Q8345459	Category:Cartographers	7625	16
137	http://www.wikidata.org/entity/Q45559	http://www.wikidata.org/entity/Q8488090	Category:Geometridae	7605	500
138	http://www.wikidata.org/entity/Q4205432	http://www.wikidata.org/entity/Q7042130	Category:Ichthyologists	7549	18
139	http://www.wikidata.org/entity/Q1079215	http://www.wikidata.org/entity/Q7187202	Category:Japanese pornographic film actresses	7503	67
140	http://www.wikidata.org/entity/Q4164507	http://www.wikidata.org/entity/Q8265157	Category:Art critics	7488	19
141	http://www.wikidata.org/entity/Q52382875	http://www.wikidata.org/entity/Q6619589	Category:Fellows of the American Academy of Arts and Sciences	7365	500
142	http://www.wikidata.org/entity/Q20442589	http://www.wikidata.org/entity/Q6206659	Category:LGBT-related film	7309	18
143	http://www.wikidata.org/entity/Q8403	http://www.wikidata.org/entity/Q8142908	Category:1948 Summer Olympics	7274	12
144	http://www.wikidata.org/entity/Q55818	http://www.wikidata.org/entity/Q5836743	Category:Impact craters	7218	20
145	http://www.wikidata.org/entity/Q8150	http://www.wikidata.org/entity/Q8136930	Category:1936 Summer Olympics	7138	20
