Item1,Item2,Item3,Item4,BestItem,WorstItem
Брюс Ли,Александр Гамильтон,Лев Николаевич Толстой,Ричард Харрис,Лев Николаевич Толстой,Брюс Ли
Лев Николаевич Толстой,Мао Цзэдун,Ричард Харрис,Иоанн Павел II,Лев Николаевич Толстой,Ричард Харрис
Лев Николаевич Толстой,Мао Цзэдун,Ричард Харрис,Иоанн Павел II,Лев Николаевич Толстой,Ричард Харрис
Брюс Ли,Александр Гамильтон,Лев Николаевич Толстой,Ричард Харрис,Брюс Ли,Лев Николаевич Толстой
Томас Джефферсон,Марк Аврелий,Лев Николаевич Толстой,философия,Марк Аврелий,философия
Томас Джефферсон,Марк Аврелий,Лев Николаевич Толстой,философия,Марк Аврелий,философия
Брюс Ли,Марк Аврелий,Мао Цзэдун,философия,Марк Аврелий,Брюс Ли
Брюс Ли,Марк Аврелий,Мао Цзэдун,философия,Брюс Ли,философия
Брюс Ли,Марк Аврелий,Мао Цзэдун,философия,философия,Марк Аврелий
Брюс Ли,Марк Аврелий,Мао Цзэдун,философия,философия,Марк Аврелий
Брюс Ли,Марк Аврелий,Мао Цзэдун,философия,Марк Аврелий,философия
Брюс Ли,Марк Аврелий,Мао Цзэдун,философия,Марк Аврелий,Брюс Ли
Томас Джефферсон,Марк Аврелий,Лев Николаевич Толстой,философия,Марк Аврелий,философия
Томас Джефферсон,Марк Аврелий,Лев Николаевич Толстой,философия,Марк Аврелий,философия
Брюс Ли,Александр Гамильтон,Лев Николаевич Толстой,Ричард Харрис,Александр Гамильтон,Брюс Ли
Лев Давидович Троцкий,Томас Джефферсон,Раиса Максимовна Горбачёва,Александр Гамильтон,Томас Джефферсон,Раиса Максимовна Горбачёва
Лев Давидович Троцкий,Томас Джефферсон,Раиса Максимовна Горбачёва,Александр Гамильтон,Томас Джефферсон,Раиса Максимовна Горбачёва
Лев Давидович Троцкий,Томас Джефферсон,Раиса Максимовна Горбачёва,Александр Гамильтон,Лев Давидович Троцкий,Раиса Максимовна Горбачёва
Лев Давидович Троцкий,Томас Джефферсон,Раиса Максимовна Горбачёва,Александр Гамильтон,Александр Гамильтон,Раиса Максимовна Горбачёва
Ричард Харрис,Марк Аврелий,Александр Гельевич Дугин,Махатма Ганди,Махатма Ганди,Александр Гельевич Дугин
Ричард Харрис,Марк Аврелий,Александр Гельевич Дугин,Махатма Ганди,Махатма Ганди,Марк Аврелий
Ричард Харрис,Марк Аврелий,Александр Гельевич Дугин,Махатма Ганди,Махатма Ганди,Александр Гельевич Дугин
Ричард Харрис,Марк Аврелий,Александр Гельевич Дугин,Махатма Ганди,Марк Аврелий,Александр Гельевич Дугин
Ричард Харрис,Марк Аврелий,Александр Гельевич Дугин,Махатма Ганди,Махатма Ганди,Ричард Харрис
Ричард Харрис,Марк Аврелий,Александр Гельевич Дугин,Махатма Ганди,Ричард Харрис,Махатма Ганди
Бенедикт XVI,Махатма Ганди,Лев Николаевич Толстой,Марк Аврелий,Лев Николаевич Толстой,Бенедикт XVI
Бенедикт XVI,Махатма Ганди,Лев Николаевич Толстой,Марк Аврелий,Марк Аврелий,Бенедикт XVI
Бенедикт XVI,Махатма Ганди,Лев Николаевич Толстой,Марк Аврелий,Марк Аврелий,Бенедикт XVI
Бенедикт XVI,Махатма Ганди,Лев Николаевич Толстой,Марк Аврелий,Марк Аврелий,Бенедикт XVI
Бенедикт XVI,Махатма Ганди,Лев Николаевич Толстой,Марк Аврелий,Махатма Ганди,Марк Аврелий
Бенедикт XVI,Махатма Ганди,Лев Николаевич Толстой,Марк Аврелий,Марк Аврелий,Лев Николаевич Толстой
Томас Джефферсон,Раиса Максимовна Горбачёва,Бенедикт XVI,философия,философия,Томас Джефферсон
Томас Джефферсон,Раиса Максимовна Горбачёва,Бенедикт XVI,философия,Бенедикт XVI,Томас Джефферсон
Марк Аврелий,философия,Фёдор Михайлович Достоевский,Мао Цзэдун,Марк Аврелий,Фёдор Михайлович Достоевский
Марк Аврелий,философия,Фёдор Михайлович Достоевский,Мао Цзэдун,философия,Мао Цзэдун
Томас Джефферсон,Раиса Максимовна Горбачёва,Бенедикт XVI,философия,философия,Раиса Максимовна Горбачёва
Томас Джефферсон,Раиса Максимовна Горбачёва,Бенедикт XVI,философия,философия,Раиса Максимовна Горбачёва
Марк Аврелий,философия,Фёдор Михайлович Достоевский,Мао Цзэдун,философия,Мао Цзэдун
Марк Аврелий,философия,Фёдор Михайлович Достоевский,Мао Цзэдун,Марк Аврелий,философия
Марк Аврелий,философия,Фёдор Михайлович Достоевский,Мао Цзэдун,философия,Фёдор Михайлович Достоевский
Марк Аврелий,философия,Фёдор Михайлович Достоевский,Мао Цзэдун,философия,Фёдор Михайлович Достоевский
Иоанн Павел II,философия,Ричард Харрис,Брюс Ли,философия,Брюс Ли
Иоанн Павел II,философия,Ричард Харрис,Брюс Ли,философия,Брюс Ли
Иоанн Павел II,философия,Ричард Харрис,Брюс Ли,Брюс Ли,философия
Карл Маркс,Александр Гамильтон,Лев Давидович Троцкий,Мао Цзэдун,Карл Маркс,Александр Гамильтон
Карл Маркс,Александр Гамильтон,Лев Давидович Троцкий,Мао Цзэдун,Мао Цзэдун,Александр Гамильтон
Иоанн Павел II,философия,Ричард Харрис,Брюс Ли,Ричард Харрис,Брюс Ли
Карл Маркс,Александр Гамильтон,Лев Давидович Троцкий,Мао Цзэдун,Карл Маркс,Лев Давидович Троцкий
Лев Давидович Троцкий,Мао Цзэдун,Брюс Ли,Бенедикт XVI,Лев Давидович Троцкий,Брюс Ли
Карл Маркс,Александр Гамильтон,Лев Давидович Троцкий,Мао Цзэдун,Карл Маркс,Александр Гамильтон
Лев Давидович Троцкий,Мао Цзэдун,Брюс Ли,Бенедикт XVI,Брюс Ли,Лев Давидович Троцкий
Лев Давидович Троцкий,Мао Цзэдун,Брюс Ли,Бенедикт XVI,Лев Давидович Троцкий,Брюс Ли
Лев Давидович Троцкий,Мао Цзэдун,Брюс Ли,Бенедикт XVI,Лев Давидович Троцкий,Брюс Ли
Карл Маркс,Александр Гамильтон,Лев Давидович Троцкий,Мао Цзэдун,Мао Цзэдун,Лев Давидович Троцкий
философия,Лев Давидович Троцкий,Ричард Харрис,Томас Джефферсон,философия,Томас Джефферсон
философия,Лев Давидович Троцкий,Ричард Харрис,Томас Джефферсон,Лев Давидович Троцкий,философия
философия,Лев Давидович Троцкий,Ричард Харрис,Томас Джефферсон,философия,Ричард Харрис
философия,Лев Давидович Троцкий,Ричард Харрис,Томас Джефферсон,Лев Давидович Троцкий,Ричард Харрис
философия,Иоанн Павел II,Иоганн Вольфганг фон Гёте,Брюс Ли,Иоганн Вольфганг фон Гёте,Брюс Ли
философия,Лев Давидович Троцкий,Ричард Харрис,Томас Джефферсон,философия,Лев Давидович Троцкий
философия,Лев Давидович Троцкий,Ричард Харрис,Томас Джефферсон,Ричард Харрис,Томас Джефферсон
философия,Иоанн Павел II,Иоганн Вольфганг фон Гёте,Брюс Ли,философия,Брюс Ли
философия,Иоанн Павел II,Иоганн Вольфганг фон Гёте,Брюс Ли,Иоганн Вольфганг фон Гёте,Брюс Ли
философия,Иоанн Павел II,Иоганн Вольфганг фон Гёте,Брюс Ли,Брюс Ли,Иоанн Павел II
