Item1,Item2,Item3,Item4,BestItem,WorstItem
Вечные,Тор: Любовь и гром,Стражи Галактики. Часть 3,Фантастические твари: Преступления Грин-де-Вальда,Фантастические твари: Преступления Грин-де-Вальда,Вечные
Вечные,Тор: Любовь и гром,Стражи Галактики. Часть 3,Фантастические твари: Преступления Грин-де-Вальда,Фантастические твари: Преступления Грин-де-Вальда,Вечные
Вечные,Мир юрского периода: Господство,Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой,Доктор Стрэндж: В мультивселенной безумия,Мир юрского периода: Господство
Вечные,Мир юрского периода: Господство,Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой,Человек-паук: Нет пути домой,Вечные
Доктор Стрэндж: В мультивселенной безумия,Фантастические твари: Преступления Грин-де-Вальда,King's Man: Начало,Тор: Любовь и гром,Доктор Стрэндж: В мультивселенной безумия,Тор: Любовь и гром
Доктор Стрэндж: В мультивселенной безумия,Фантастические твари: Преступления Грин-де-Вальда,King's Man: Начало,Тор: Любовь и гром,Фантастические твари: Преступления Грин-де-Вальда,Тор: Любовь и гром
Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой,Фантастические твари: Тайны Дамблдора,Джонни Депп,Фантастические твари: Тайны Дамблдора,Джонни Депп
Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой,Фантастические твари: Тайны Дамблдора,Джонни Депп,Человек-паук: Нет пути домой,Джонни Депп
Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой,Фантастические твари: Тайны Дамблдора,Джонни Депп,Фантастические твари: Тайны Дамблдора,Человек-паук: Нет пути домой
Вечные,Мир юрского периода: Господство,Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой,Человек-паук: Нет пути домой,Вечные
Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой,Фантастические твари: Тайны Дамблдора,Джонни Депп,Доктор Стрэндж: В мультивселенной безумия,Человек-паук: Нет пути домой
Аватар: Путь воды,Гарри Поттер и философский камень,Мстители: Финал,Чёрный Адам,Мстители: Финал,Гарри Поттер и философский камень
Аватар: Путь воды,Гарри Поттер и философский камень,Мстители: Финал,Чёрный Адам,Аватар: Путь воды,Чёрный Адам
Чёрный Адам,Доктор Стрэндж: В мультивселенной безумия,Капитан Марвел 2,Человек-паук: Нет пути домой,Доктор Стрэндж: В мультивселенной безумия,Капитан Марвел 2
Чёрный Адам,Доктор Стрэндж: В мультивселенной безумия,Капитан Марвел 2,Человек-паук: Нет пути домой,Человек-паук: Нет пути домой,Доктор Стрэндж: В мультивселенной безумия
Чёрный Адам,Доктор Стрэндж: В мультивселенной безумия,Капитан Марвел 2,Человек-паук: Нет пути домой,Капитан Марвел 2,Доктор Стрэндж: В мультивселенной безумия
Чёрный Адам,Доктор Стрэндж: В мультивселенной безумия,Капитан Марвел 2,Человек-паук: Нет пути домой,Капитан Марвел 2,Чёрный Адам
