Item1,Item2,Item3,Item4,BestItem,WorstItem
Metal Gear Rising: Revengeance,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля
Metal Gear Rising: Revengeance,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,S.T.A.L.K.E.R. 2: Сердце Чернобыля,action/RPG
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Counter-Strike: Global Offensive,Bayonetta
Doom 3,симулятор выживания,Counter-Strike: Global Offensive,Bayonetta,Counter-Strike: Global Offensive,Doom 3
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Return to Castle Wolfenstein,Kingdom Hearts
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Counter-Strike: Global Offensive,Bayonetta
Doom 3,симулятор выживания,Counter-Strike: Global Offensive,Bayonetta,Doom 3,Bayonetta
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Kingdom Hearts,Bayonetta
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Kingdom Hearts,Bayonetta
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Counter-Strike: Global Offensive,Return to Castle Wolfenstein
Doom 3,симулятор выживания,Counter-Strike: Global Offensive,Bayonetta,Counter-Strike: Global Offensive,симулятор выживания
Doom 3,симулятор выживания,Counter-Strike: Global Offensive,Bayonetta,Doom 3,Bayonetta
Doom 3,симулятор выживания,Counter-Strike: Global Offensive,Bayonetta,Counter-Strike: Global Offensive,Bayonetta
action-adventure,God of War: Chains of Olympus,Dota 2,Death Stranding,action-adventure,God of War: Chains of Olympus
action-adventure,God of War: Chains of Olympus,Dota 2,Death Stranding,action-adventure,Death Stranding
action-adventure,God of War: Chains of Olympus,Dota 2,Death Stranding,God of War: Chains of Olympus,Death Stranding
action-adventure,God of War: Chains of Olympus,Dota 2,Death Stranding,Dota 2,action-adventure
action-adventure,God of War: Chains of Olympus,Dota 2,Death Stranding,action-adventure,Death Stranding
action-adventure,God of War: Chains of Olympus,Dota 2,Death Stranding,action-adventure,Death Stranding
Doom 3,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League,Resident Evil Village,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League
Doom 3,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League,Resident Evil Village,Resident Evil Village,Doom 3
Doom 3,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League,Resident Evil Village,Resident Evil Village,Doom 3
Doom 3,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League,Resident Evil Village,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League
Metal Gear Rising: Revengeance,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,God of War: Chains of Olympus,action/RPG
Metal Gear Rising: Revengeance,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Metal Gear Rising: Revengeance
Doom 3,симулятор выживания,Counter-Strike: Global Offensive,Bayonetta,Counter-Strike: Global Offensive,симулятор выживания
Doom 3,Return to Castle Wolfenstein,Suicide Squad: Kill the Justice League,Resident Evil Village,Resident Evil Village,Return to Castle Wolfenstein
action/RPG,God of War: Chains of Olympus,Resident Evil Village,Death Stranding,action/RPG,Death Stranding
action/RPG,God of War: Chains of Olympus,Resident Evil Village,Death Stranding,Resident Evil Village,God of War: Chains of Olympus
action/RPG,God of War: Chains of Olympus,Resident Evil Village,Death Stranding,action/RPG,Death Stranding
