Item1,Item2,Item3,Item4,BestItem,WorstItem
Ratchet & Clank: Rift Apart,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Return to Castle Wolfenstein,The Last of Us Part II,The Last of Us Part II,Ratchet & Clank: Rift Apart
Ratchet & Clank: Rift Apart,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Return to Castle Wolfenstein,The Last of Us Part II,S.T.A.L.K.E.R. 2: Heart of Chornobyl,The Last of Us Part II
Ratchet & Clank: Rift Apart,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Return to Castle Wolfenstein,The Last of Us Part II,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Heart of Chornobyl
Ratchet & Clank: Rift Apart,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Return to Castle Wolfenstein,The Last of Us Part II,Return to Castle Wolfenstein,S.T.A.L.K.E.R. 2: Heart of Chornobyl
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,God of War: Chains of Olympus,The Last of Us Part II
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,Doom 3,The Last of Us Part II
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,Doom 3,The Last of Us Part II
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,God of War: Chains of Olympus,Resident Evil Village
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,Doom 3,The Last of Us Part II
Doom 3,The Last of Us Part II,God of War: Chains of Olympus,Resident Evil Village,God of War: Chains of Olympus,Resident Evil Village
Resident Evil Village,action role-playing game,survival game,Doom 3,Doom 3,survival game
Resident Evil Village,action role-playing game,survival game,Doom 3,Doom 3,survival game
Resident Evil Village,action role-playing game,survival game,Doom 3,Doom 3,survival game
Resident Evil Village,action role-playing game,survival game,Doom 3,Resident Evil Village,survival game
Resident Evil Village,action role-playing game,survival game,Doom 3,Doom 3,survival game
Resident Evil Village,action role-playing game,survival game,Doom 3,Doom 3,action role-playing game
Death Stranding,Metal Gear Rising: Revengeance,survival game,Dota 2,Metal Gear Rising: Revengeance,survival game
Death Stranding,Metal Gear Rising: Revengeance,survival game,Dota 2,Death Stranding,survival game
Death Stranding,Metal Gear Rising: Revengeance,survival game,Dota 2,Metal Gear Rising: Revengeance,survival game
Death Stranding,Metal Gear Rising: Revengeance,survival game,Dota 2,Metal Gear Rising: Revengeance,survival game
Death Stranding,Metal Gear Rising: Revengeance,survival game,Dota 2,Metal Gear Rising: Revengeance,Death Stranding
Death Stranding,Metal Gear Rising: Revengeance,survival game,Dota 2,Metal Gear Rising: Revengeance,survival game
Bayonetta,survival game,Dota 2,Kingdom Hearts,Dota 2,survival game
Bayonetta,survival game,Dota 2,Kingdom Hearts,Bayonetta,Kingdom Hearts
Bayonetta,survival game,Dota 2,Kingdom Hearts,Bayonetta,survival game
Bayonetta,survival game,Dota 2,Kingdom Hearts,Bayonetta,Kingdom Hearts
Bayonetta,survival game,Dota 2,Kingdom Hearts,survival game,Kingdom Hearts
Bayonetta,survival game,Dota 2,Kingdom Hearts,Bayonetta,survival game
action role-playing game,God of War: Chains of Olympus,Dota 2,Death Stranding,action role-playing game,Dota 2
action role-playing game,God of War: Chains of Olympus,Dota 2,Death Stranding,God of War: Chains of Olympus,action role-playing game
action role-playing game,God of War: Chains of Olympus,Dota 2,Death Stranding,action role-playing game,Dota 2
action role-playing game,God of War: Chains of Olympus,Dota 2,Death Stranding,God of War: Chains of Olympus,action role-playing game
action role-playing game,God of War: Chains of Olympus,Dota 2,Death Stranding,God of War: Chains of Olympus,action role-playing game
action role-playing game,God of War: Chains of Olympus,Dota 2,Death Stranding,God of War: Chains of Olympus,Dota 2
Metal Gear Rising: Revengeance,action-adventure game,S.T.A.L.K.E.R. 2: Heart of Chornobyl,God of War: Chains of Olympus,God of War: Chains of Olympus,action-adventure game
Metal Gear Rising: Revengeance,action-adventure game,S.T.A.L.K.E.R. 2: Heart of Chornobyl,God of War: Chains of Olympus,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Metal Gear Rising: Revengeance
Metal Gear Rising: Revengeance,action-adventure game,S.T.A.L.K.E.R. 2: Heart of Chornobyl,God of War: Chains of Olympus,God of War: Chains of Olympus,action-adventure game
Metal Gear Rising: Revengeance,action-adventure game,S.T.A.L.K.E.R. 2: Heart of Chornobyl,God of War: Chains of Olympus,Metal Gear Rising: Revengeance,action-adventure game
Metal Gear Rising: Revengeance,action-adventure game,S.T.A.L.K.E.R. 2: Heart of Chornobyl,God of War: Chains of Olympus,God of War: Chains of Olympus,S.T.A.L.K.E.R. 2: Heart of Chornobyl
Metal Gear Rising: Revengeance,action-adventure game,S.T.A.L.K.E.R. 2: Heart of Chornobyl,God of War: Chains of Olympus,God of War: Chains of Olympus,action-adventure game
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Counter-Strike: Global Offensive,Return to Castle Wolfenstein
Counter-Strike: Global Offensive,Bayonetta,Kingdom Hearts,Return to Castle Wolfenstein,Return to Castle Wolfenstein,Kingdom Hearts
