Item1,Item2,Item3,Item4,BestItem,WorstItem
Cargo Notes,Simulation of Sporting Achievements,Zbruch Idol,Despicable Me 2,Zbruch Idol,Simulation of Sporting Achievements
Cargo Notes,Simulation of Sporting Achievements,Zbruch Idol,Despicable Me 2,Zbruch Idol,Simulation of Sporting Achievements
Cargo Notes,Simulation of Sporting Achievements,Zbruch Idol,Despicable Me 2,Zbruch Idol,Despicable Me 2
Cargo Notes,Simulation of Sporting Achievements,Zbruch Idol,Despicable Me 2,Zbruch Idol,Despicable Me 2
Cargo Notes,Simulation of Sporting Achievements,Zbruch Idol,Despicable Me 2,Zbruch Idol,Simulation of Sporting Achievements
crystal skull,relief sculpture,Hermannsdenkmal,death mask,relief sculpture,Hermannsdenkmal
crystal skull,relief sculpture,Hermannsdenkmal,death mask,relief sculpture,Hermannsdenkmal
crystal skull,relief sculpture,Hermannsdenkmal,death mask,crystal skull,death mask
crystal skull,relief sculpture,Hermannsdenkmal,death mask,death mask,relief sculpture
crystal skull,relief sculpture,Hermannsdenkmal,death mask,relief sculpture,death mask
Kyffhäuser Monument,Venus of Willendorf,art of sculpture,Pietà,Kyffhäuser Monument,art of sculpture
Kyffhäuser Monument,Venus of Willendorf,art of sculpture,Pietà,Pietà,art of sculpture
Kyffhäuser Monument,Venus of Willendorf,art of sculpture,Pietà,Venus of Willendorf,Pietà
The Gates of Hell,Venus of Willendorf,Venus of Galgenberg,Laocoön and His Sons,Venus of Willendorf,Laocoön and His Sons
The Gates of Hell,Venus of Willendorf,Venus of Galgenberg,Laocoön and His Sons,The Gates of Hell,Laocoön and His Sons
The Gates of Hell,Venus of Willendorf,Venus of Galgenberg,Laocoön and His Sons,Venus of Willendorf,Laocoön and His Sons
The Gates of Hell,Venus of Willendorf,Venus of Galgenberg,Laocoön and His Sons,Venus of Willendorf,The Gates of Hell
The Gates of Hell,Venus of Willendorf,Venus of Galgenberg,Laocoön and His Sons,Venus of Willendorf,Laocoön and His Sons
The Gates of Hell,Venus of Willendorf,Venus of Galgenberg,Laocoön and His Sons,Venus of Willendorf,Laocoön and His Sons
death mask,Venus de Milo,Nefertiti Bust,Sheela na gig,Nefertiti Bust,Sheela na gig
death mask,Venus de Milo,Nefertiti Bust,Sheela na gig,Venus de Milo,death mask
death mask,Venus de Milo,Nefertiti Bust,Sheela na gig,Venus de Milo,death mask
death mask,Venus de Milo,Nefertiti Bust,Sheela na gig,Venus de Milo,Sheela na gig
death mask,Venus de Milo,Nefertiti Bust,Sheela na gig,Venus de Milo,Sheela na gig
death mask,Venus de Milo,Nefertiti Bust,Sheela na gig,Nefertiti Bust,Sheela na gig
Bacchus,Kyffhäuser Monument,Hermannsdenkmal,Nefertiti Bust,Bacchus,Kyffhäuser Monument
Bacchus,Kyffhäuser Monument,Hermannsdenkmal,Nefertiti Bust,Kyffhäuser Monument,Bacchus
Bacchus,Kyffhäuser Monument,Hermannsdenkmal,Nefertiti Bust,Nefertiti Bust,Kyffhäuser Monument
Bacchus,Kyffhäuser Monument,Hermannsdenkmal,Nefertiti Bust,Kyffhäuser Monument,Hermannsdenkmal
Bacchus,Kyffhäuser Monument,Hermannsdenkmal,Nefertiti Bust,Nefertiti Bust,Hermannsdenkmal
Bacchus,Kyffhäuser Monument,Hermannsdenkmal,Nefertiti Bust,Nefertiti Bust,Kyffhäuser Monument
Victory Arch,Venus of Galgenberg,crystal skull,Bacchus,Venus of Galgenberg,Bacchus
Victory Arch,Venus of Galgenberg,crystal skull,Bacchus,Victory Arch,crystal skull
