0,1,2,3
Джордж Оруэлл,0.323,http://www.wikidata.org/entity/Q3335,англичане
Исаак Ньютон,0.302,http://www.wikidata.org/entity/Q935,англичане
Уильям Блейк,0.26,http://www.wikidata.org/entity/Q41513,англичане
Том Харди,0.25,http://www.wikidata.org/entity/Q208026,англичане
Роджер Мур,0.083,http://www.wikidata.org/entity/Q134333,англичане
Дэниел Дэй-Льюис,0.083,http://www.wikidata.org/entity/Q166389,англичане
Клинт Иствуд,0.042,http://www.wikidata.org/entity/Q43203,англичане
Гарри Поттер,-0.094,http://www.wikidata.org/entity/Q3244512,англичане
"Колби, Энджел",-0.146,http://www.wikidata.org/entity/Q254911,англичане
"Фрейд, Люсьен",-0.24,http://www.wikidata.org/entity/Q154594,англичане
Аня Тейлор-Джой,-0.24,http://www.wikidata.org/entity/Q20882479,англичане
Доктор Ливси,-0.25,http://www.wikidata.org/entity/Q4118056,англичане
Австралия,-0.75,http://www.wikidata.org/entity/Q408,англичане
Флорида,0.521,http://www.wikidata.org/entity/Q812,штат США
Калифорния,0.5,http://www.wikidata.org/entity/Q99,штат США
Вашингтон,0.417,http://www.wikidata.org/entity/Q1223,штат США
Техас,0.292,http://www.wikidata.org/entity/Q1439,штат США
Нью-Йорк,0.208,http://www.wikidata.org/entity/Q1384,штат США
Массачусетс,0.146,http://www.wikidata.org/entity/Q771,штат США
Джорджия,0.125,http://www.wikidata.org/entity/Q1428,штат США
Аляска,0.083,http://www.wikidata.org/entity/Q797,штат США
Колорадо,-0.042,http://www.wikidata.org/entity/Q1261,штат США
Кентукки,-0.104,http://www.wikidata.org/entity/Q1603,штат США
Монтана,-0.146,http://www.wikidata.org/entity/Q1212,штат США
Виргиния,-0.167,http://www.wikidata.org/entity/Q1370,штат США
Пенсильвания,-0.229,http://www.wikidata.org/entity/Q1400,штат США
Миссури,-0.271,http://www.wikidata.org/entity/Q1581,штат США
Висконсин,-0.396,http://www.wikidata.org/entity/Q1537,штат США
Вайоминг,-0.438,http://www.wikidata.org/entity/Q1214,штат США
Гавайи,-0.5,http://www.wikidata.org/entity/Q782,штат США
Стив Джобс,0.583,http://www.wikidata.org/entity/Q19837,специалист в области информатики
Марк Цукерберг,0.438,http://www.wikidata.org/entity/Q36215,специалист в области информатики
Стив Возняк,0.229,http://www.wikidata.org/entity/Q483382,специалист в области информатики
Павел Дуров,0.208,http://www.wikidata.org/entity/Q149067,специалист в области информатики
Ларри Пейдж,0.062,http://www.wikidata.org/entity/Q4934,специалист в области информатики
Сергей Брин,0.062,http://www.wikidata.org/entity/Q92764,специалист в области информатики
Алан Тьюринг,-0.021,http://www.wikidata.org/entity/Q7251,специалист в области информатики
Эдвард Сноуден,-0.042,http://www.wikidata.org/entity/Q13424289,специалист в области информатики
Джек Дорси,-0.042,http://www.wikidata.org/entity/Q335552,специалист в области информатики
Джефф Безос,-0.062,http://www.wikidata.org/entity/Q312556,специалист в области информатики
Аркадий Волож,-0.125,http://www.wikidata.org/entity/Q4123823,специалист в области информатики
"Эк, Даниэль",-0.229,http://www.wikidata.org/entity/Q901670,специалист в области информатики
Эдуардо Саверин,-0.271,http://www.wikidata.org/entity/Q312663,специалист в области информатики
"Тиль, Питер",-0.354,http://www.wikidata.org/entity/Q705525,специалист в области информатики
Судха Мурти,-0.438,http://www.wikidata.org/entity/Q3520225,специалист в области информатики
коренные народы США,0.646,http://www.wikidata.org/entity/Q49297,американцы США
Джон Дэвисон Рокфеллер,0.409,http://www.wikidata.org/entity/Q160278,американцы США
Братья Коэн,0.283,http://www.wikidata.org/entity/Q56095,американцы США
Томас Алва Эдисон,0.24,http://www.wikidata.org/entity/Q8743,американцы США
Гражданство США,0.115,http://www.wikidata.org/entity/Q15133865,американцы США
белые американцы,0.054,http://www.wikidata.org/entity/Q49078,американцы США
Джей Кей Симмонс,0.042,http://www.wikidata.org/entity/Q150482,американцы США
афроамериканцы,-0.043,http://www.wikidata.org/entity/Q49085,американцы США
Джулианна Маргулис,-0.063,http://www.wikidata.org/entity/Q229714,американцы США
Ава Гарднер,-0.104,http://www.wikidata.org/entity/Q164487,американцы США
Дороти Воган,-0.156,http://www.wikidata.org/entity/Q22915129,американцы США
Лиза Боне,-0.263,http://www.wikidata.org/entity/Q232414,американцы США
Игорь Иванович Сикорский,-0.49,http://www.wikidata.org/entity/Q212446,американцы США
китайцы в США,-0.646,http://www.wikidata.org/entity/Q1146100,американцы США
Турция,0.542,http://www.wikidata.org/entity/Q43,турки
Турецкая диаспора,0.438,http://www.wikidata.org/entity/Q1796235,турки
"Кылычдароглу, Кемаль",0.302,http://www.wikidata.org/entity/Q44332,турки
турецкий язык,0.271,http://www.wikidata.org/entity/Q256,турки
"Шакир, Бехаэддин",0.198,http://www.wikidata.org/entity/Q2616976,турки
Турки в Германии,0.167,http://www.wikidata.org/entity/Q704608,турки
попытка военного переворота в Турции в 2016 году,0.115,http://www.wikidata.org/entity/Q25906338,турки
Месут Озиль,0.083,http://www.wikidata.org/entity/Q83488,турки
Караманлиды,-0.01,http://www.wikidata.org/entity/Q252692,турки
Тюрки,-0.042,http://www.wikidata.org/entity/Q83328,турки
Бибрас Натхо,-0.24,http://www.wikidata.org/entity/Q559910,турки
Азиаты,-0.531,http://www.wikidata.org/entity/Q4058325,турки
Германия,-0.625,http://www.wikidata.org/entity/Q183,турки
Шахматный автомат,-0.708,http://www.wikidata.org/entity/Q275924,турки
FIFA 23,0.729,http://www.wikidata.org/entity/Q107486489,спортивный симулятор
Football Limited,0.418,http://www.wikidata.org/entity/Q672418,спортивный симулятор
NBA 2K,0.363,http://www.wikidata.org/entity/Q512849,спортивный симулятор
Wii Sports,0.188,http://www.wikidata.org/entity/Q71936,спортивный симулятор
Tennis for Two,0.167,http://www.wikidata.org/entity/Q858294,спортивный симулятор
Wii Sports Resort,0.154,http://www.wikidata.org/entity/Q1135241,спортивный симулятор
Tony Hawk’s Pro Skater 4,0.083,http://www.wikidata.org/entity/Q1512956,спортивный симулятор
Tony Hawk’s Pro Skater 1 + 2,0.073,http://www.wikidata.org/entity/Q94587084,спортивный симулятор
Mario Strikers: Battle League Football,0.042,http://www.wikidata.org/entity/Q110876089,спортивный симулятор
Tony Hawk’s Pro Skater 3,0.011,http://www.wikidata.org/entity/Q1463730,спортивный симулятор
AEW Fight Forever,-0.033,http://www.wikidata.org/entity/Q111844850,спортивный симулятор
Tony Hawk’s Pro Skater 2,-0.052,http://www.wikidata.org/entity/Q1538485,спортивный симулятор
Pong,-0.153,http://www.wikidata.org/entity/Q216293,спортивный симулятор
компьютерные гонки,-0.188,http://www.wikidata.org/entity/Q860750,спортивный симулятор
PainStation,-0.292,http://www.wikidata.org/entity/Q1282807,спортивный симулятор
Tony Hawk,-0.344,http://www.wikidata.org/entity/Q1189289,спортивный симулятор
Pyre,-0.5,http://www.wikidata.org/entity/Q23947160,спортивный симулятор
Mario,-0.625,http://www.wikidata.org/entity/Q4803535,спортивный симулятор
Гринч — похититель Рождества,0.844,http://www.wikidata.org/entity/Q131864,рождественский фильм
